Date,Time,Surveyors,Site,Point,Temp_F,Cloud_Cover,Wind_Speed,Survey_Point,Species,Distance_m,Notes,Resident
12/16/23,9:29,"ARJ, JG, NM",CDL,3,39,50,0,3,PHAI,20,,Yes
12/16/23,9:29,"ARJ, JG, NM",CDL,3,39,50,0,3,NOMO,40,,Yes
12/16/23,9:29,"ARJ, JG, NM",CDL,3,39,50,0,3,HOOR,30,,No
12/16/23,9:29,"ARJ, JG, NM",CDL,3,39,50,0,3,MODO,40,,Yes
12/16/23,9:50,"ARJ, JG, NM",CDL,4,39,50,0,4,UWCS,0,,No
12/16/23,9:50,"ARJ, JG, NM",CDL,4,39,50,0,4,PHAI,0,,Yes
12/16/23,9:50,"ARJ, JG, NM",CDL,4,39,50,0,4,NOMO,0,,Yes
12/16/23,9:50,"ARJ, JG, NM",CDL,4,39,50,0,4,BETH,0,,No
12/16/23,8:20,"ARJ, JG, NM",CDL,1,39,55,0,1,CORA,100,,Yes
12/16/23,8:51,"ARJ, JG, NM",CDL,2,39,55,0,2,PHAI,50,Noise/Cars,Yes
12/16/23,8:51,"ARJ, JG, NM",CDL,2,39,55,0,2,GRFL,50,Noise/Cars,No
12/16/23,8:51,"ARJ, JG, NM",CDL,2,39,55,0,2,NOMO,50,Noise/Cars,Yes
12/16/23,8:51,"ARJ, JG, NM",CDL,2,39,55,0,2,SAPH,50,Noise/Cars,Yes
12/17/23,9:16,"ARJ, JG",BSB,3,60,15,0,3,PHAI,0,,Yes
12/17/23,9:16,"ARJ, JG",BSB,3,60,15,0,3,PHAI,10,,Yes
12/17/23,9:16,"ARJ, JG",BSB,3,60,15,0,3,PHAI,40,,Yes
12/17/23,9:16,"ARJ, JG",BSB,3,60,15,0,3,PHAI,50,,Yes
12/17/23,9:16,"ARJ, JG",BSB,3,60,15,0,3,NOMO,20,,Yes
12/17/23,8:40,"ARJ, JG",BSB,4,60,15,0,4,UWCS,10,,No