Date,Observers,Site,Tree_ID,Tree_Tag,Resprouting,CrownSizeShape,DeadBranches,CrownFoliarDensity,Notes
4/13/23,"NM, AR",1,1_1,13,1,1,2,2,
4/13/23,"NM, AR",1,1_2,14,3,3,3,3,
4/13/23,"NM, AR",1,1_3,15,3,3,3,3,
4/13/23,"NM, AR",1,1_4,16,1,1,1.5,1,Not fully leafed out
4/13/23,"NM, AR",1,1_5,17,4,3,3.5,3,
4/13/23,"NM, AR",1,1_6,18,3,3.5,4,4,
4/13/23,"NM, AR",1,1_7,19,1,1,3,2,
4/13/23,"NM, AR",1,1_8,20,1.5,3.5,3,3,
4/13/23,"NM, AR",1,1_9,21,3,2,2,3,
4/13/23,"NM, AR",1,1_10,22,3,4,4,4,
4/13/23,"NM, AR",1,1_11,23,4,4,5,4,
4/13/23,"NM, AR",1,1_12,24,3,4,4,4,
4/14/23,"NM, AR",5,5_1,1,4,3,3,3,
4/14/23,"NM, AR",5,5_2,2,3,4,5,4.5,
4/14/23,"NM, AR",5,5_3,3,3,3,4,3.5,mistletoe upper canopy
4/14/23,"NM, AR",5,5_4,4,4,5,5,4,
4/14/23,"NM, AR",5,5_5,5,4,4.5,5,4,
4/14/23,"NM, AR",5,5_6,6,4,4,4,4.5,mistletoe upper canopy+ reproductive structure
4/14/23,"NM, AR",5,5_7,7,4,5,4,4.5,dried mistletoe upper canopy
4/14/23,"NM, AR",5,5_8,8,5,4,5,5,
4/14/23,"NM, AR",5,5_9,9,5,5,5,5,
4/14/23,"NM, AR",5,5_10,10,4,4,4,5,mistletoe upper canopy
4/14/23,"NM, AR",5,5_11,11,4,4,4,4,
4/14/23,"NM, AR",5,5_12,12,5,3,4.5,3,