Date,Observers,Site,Crosshair,TransectDirection,LiveMesquite,DeadStanding,DeadDown,Seedings
4/13/23,"BC, AT, KK, NF",1,1,0N,3,3,1,1
4/13/23,"BC, AT, KK, NF",1,1,90E,3,1,2,1
4/13/23,"BC, AT, KK, NF",1,1,180S,1,1,0,0
4/13/23,"BC, AT, KK, NF",1,1,270W,3,0,1,0
4/13/23,"BC, AT, KK, NF",1,2,0N,3,0,0,0
4/13/23,"BC, AT, KK, NF",1,2,90E,1,0,0,1
4/13/23,"BC, AT, KK, NF",1,2,180S,3,0,0,0
4/13/23,"BC, AT, KK, NF",1,2,270W,3,0,0,0
4/14/23,"BC, AT, KK, NF",5,1,0N,3,0,0,0
4/14/23,"BC, AT, KK, NF",5,1,90E,4,0,0,0
4/14/23,"BC, AT, KK, NF",5,1,180S,2,0,0,0
4/14/23,"BC, AT, KK, NF",5,1,270W,0,0,0,0
4/14/23,"BC, AT, KK, NF",5,2,0N,5,0,0,0
4/14/23,"BC, AT, KK, NF",5,2,90E,0,0,0,0
4/14/23,"BC, AT, KK, NF",5,2,180S,4,0,0,0
4/14/23,"BC, AT, KK, NF",5,2,270W,3,0,0,0